ID Number,City Name,State,Depth,Excecution Time,Cost,Nodes Expanded
0919480,Derby city,Connecticut,5,0.009972572326660156,117.3145069264256,365
0920740,Durham CDP,Connecticut,5,0.0029921531677246094,94.46216028448812,279
0921160,East Brooklyn CDP,Connecticut,3,0.0019936561584472656,51.14579026013023,143
0922420,East Hampton CDP,Connecticut,4,0.0019953250885009766,86.92194703558229,110
0922700,East Hartford CDP,Connecticut,4,0.0019989013671875,88.1712218742907,100
0922980,East Haven CDP,Connecticut,5,0.0069773197174072266,105.13054474262199,389
0926370,Essex Village CDP,Connecticut,4,0.0019941329956054688,81.8768733569746,118
0927390,Falls Village CDP,Connecticut,6,0.004988431930541992,134.8958198304386,407
0927810,Fenwick borough,Connecticut,4,0.0019958019256591797,79.50330140743678,130
0930190,Gales Ferry CDP,Connecticut,3,0.0019936561584472656,62.537588618190796,127
0930540,Georgetown CDP,Connecticut,6,0.019951581954956055,135.79483969479512,628
0931270,Glastonbury Center CDP,Connecticut,4,0.0019893646240234375,90.6399302007483,101
0931520,Glenville CDP,Connecticut,7,0.025966882705688477,150.9525378360085,782
0933690,Greenwich CDP,Connecticut,7,0.02414727210998535,149.50134731177388,772
0934180,Groton city,Connecticut,3,0.0010006427764892578,63.3684951120689,118
0934460,Groton Long Point borough,Connecticut,3,0.0009963512420654297,61.06943207258679,114
0935020,Guilford Center CDP,Connecticut,4,0.004987955093383789,95.9882458907901,314
0937000,Hartford city,Connecticut,5,0.0029909610748291016,90.91819531122883,254
0937770,Hazardville CDP,Connecticut,4,0.000997304916381836,88.0212971150856,105
0937930,Heritage Village CDP,Connecticut,6,0.007978677749633789,123.10492430487531,318
0938050,Higganum CDP,Connecticut,4,0.0019528865814208984,93.2479079079924,106
0939940,Jewett City borough,Connecticut,3,0.004027605056762695,59.650428117505896,140
0940150,Kensington CDP,Connecticut,5,0.002991199493408203,98.25999911075932,261
0941410,Lake Pocotopaug CDP,Connecticut,4,0.001995563507080078,87.16278841368049,111
0941830,Lakeville CDP,Connecticut,6,0.005942583084106445,135.8074663329138,400
0943300,Litchfield borough,Connecticut,6,0.003989458084106445,123.4970029147933,231
0943790,Long Hill CDP,Connecticut,3,0.000997304916381836,61.922999030746894,124
0944630,Madison Center CDP,Connecticut,4,0.001994609832763672,92.15746894388269,100
0944690,Manchester CDP,Connecticut,4,0.000997304916381836,83.6153897960948,99
0945120,Mansfield Center CDP,Connecticut,3,0.0019948482513427734,69.5685799659028,143
0945595,Mashantucket CDP,Connecticut,3,0.0009970664978027344,57.7826420534247,134
0946450,Meriden city,Connecticut,5,0.004038333892822266,99.13721954796102,282
0947290,Middletown city,Connecticut,5,0.003985166549682617,95.63759805389583,274
0947515,Milford city (balance),Connecticut,5,0.011970281600952148,116.5060261911601,412
0949110,Moodus CDP,Connecticut,4,0.001994609832763672,82.8335887313051,113
0949180,Moosup CDP,Connecticut,3,0.001992464065551758,48.60595944908464,144
0949810,Mystic CDP,Connecticut,3,0.000997781753540039,58.2369753778879,116
0949880,Naugatuck borough,Connecticut,6,0.006936311721801758,113.73693127499794,278
0950370,New Britain city,Connecticut,5,0.001994609832763672,103.602993960096,208
0951420,New Hartford Center CDP,Connecticut,6,0.001994609832763672,110.22894762248447,200
0952000,New Haven city,Connecticut,5,0.006981372833251953,109.0689625693378,317
