ID Number,City Name,State,Depth,Excecution Time,Cost,Nodes Expanded
0941830,Lakeville CDP,Connecticut,6,0.004985809326171875,136.91945266884278,464
0943300,Litchfield borough,Connecticut,6,0.0049860477447509766,117.83355774027754,360
0943790,Long Hill CDP,Connecticut,3,0.0009355545043945312,61.922999030746894,110
0944630,Madison Center CDP,Connecticut,4,0.0029900074005126953,92.12411080792651,224
0944690,Manchester CDP,Connecticut,4,0.003993034362792969,87.6263887735272,226
0945120,Mansfield Center CDP,Connecticut,3,0.0010607242584228516,69.5685799659028,115
0945595,Mashantucket CDP,Connecticut,3,0.0009315013885498047,57.7826420534247,79
0946450,Meriden city,Connecticut,5,0.0030596256256103516,99.13721954796102,258
0947290,Middletown city,Connecticut,5,0.002992391586303711,94.60470091054694,251
0947515,Milford city (balance),Connecticut,5,0.003984689712524414,116.41773622011621,321
0949110,Moodus CDP,Connecticut,4,0.0029916763305664062,82.528536397949,187
0949180,Moosup CDP,Connecticut,3,0.0,48.60595944908464,55
0949810,Mystic CDP,Connecticut,3,0.0009343624114990234,58.2369753778879,79
0949880,Naugatuck borough,Connecticut,5,0.0050542354583740234,115.9706887547591,333
0950370,New Britain city,Connecticut,5,0.0029921531677246094,97.18290083648205,252
0951420,New Hartford Center CDP,Connecticut,5,0.003985404968261719,112.01211241854939,329
0952000,New Haven city,Connecticut,5,0.0059206485748291016,109.6275555654898,316
0952210,Newington CDP,Connecticut,5,0.0029916763305664062,93.84631519001894,251
0952280,New London city,Connecticut,3,0.000997781753540039,64.5105822589846,110
0952560,New Milford CDP,Connecticut,6,0.005983829498291016,135.3325042654283,451
0952770,New Preston CDP,Connecticut,6,0.008975982666015625,130.6973135757865,451
0952910,Newtown borough,Connecticut,6,0.004986286163330078,128.54745183006722,415
0953120,Niantic CDP,Connecticut,3,0.001995086669921875,70.3326003875808,116
0953260,Noank CDP,Connecticut,3,0.001995563507080078,59.746849377419395,110
0953400,Norfolk CDP,Connecticut,6,0.005983114242553711,119.74036116591235,363
0954660,North Granby CDP,Connecticut,5,0.002991914749145508,102.22257388946352,260
0954730,North Grosvenor Dale CDP,Connecticut,3,0.000997304916381836,54.556413501330496,74
0954940,North Haven CDP,Connecticut,5,0.0029921531677246094,104.8384505976017,281
0955725,Northwest Harwinton CDP,Connecticut,5,0.005983591079711914,115.93699990182469,332
0955990,Norwalk city,Connecticut,6,0.005984067916870117,135.9568846593102,454
0956200,Norwich city,Connecticut,3,0.000997304916381836,63.298353578336,110
0956690,Oakville CDP,Connecticut,5,0.0050296783447265625,116.87207107157009,333
0956900,Old Greenwich CDP,Connecticut,7,0.006973981857299805,149.06025921607122,546
0957180,Old Mystic CDP,Connecticut,3,0.0010066032409667969,59.1713103704179,79
0957390,Old Saybrook Center CDP,Connecticut,4,0.0029935836791992188,81.7964906128083,186
0957670,Orange CDP,Connecticut,5,0.002991914749145508,114.05621211128981,321
0958520,Oxoboxo River CDP,Connecticut,3,0.0010416507720947266,64.4902819298092,110
